s,latitude,longitude,source
7/13/2014 0:00,27.5687,85.34,Dataset_A_GLC
7/13/2014 0:00,27.9411,85.6838,Dataset_A_GLC
7/18/2014 0:00,27.8126,84.8051,Dataset_A_GLC
7/18/2014 0:00,27.9639,84.8981,Dataset_A_GLC
8/1/2014 0:00,27.97137484,85.59878988,Dataset_BC_Admin
8/7/2014 0:00,28.00989182,85.59116878,Dataset_BC_Admin
8/8/2014 0:00,27.68665262,86.02444892,Dataset_BC_Admin
8/13/2014 0:00,27.586217,85.36010135,Dataset_BC_Admin
8/14/2014 0:00,27.737,84.6073,Dataset_A_GLC
8/15/2014 0:00,28.00013605,85.05389162,Dataset_BC_Admin
8/22/2014 0:00,27.98203501,85.59693935,Dataset_BC_Admin
8/25/2014 0:00,28.1544864,85.31232314,Dataset_BC_Admin
8/25/2014 13:00,27.8609,85.7763,Dataset_A_GLC
8/27/2014 0:00,27.8868,85.5107,Dataset_A_GLC
8/27/2014 0:00,28.02447488,85.02030305,Dataset_BC_Admin
8/29/2014 9:00,27.8315,85.1638,Dataset_A_GLC
9/9/2014 0:00,28.0491128,85.06041685,Dataset_BC_Admin
9/25/2014 0:00,27.8519,85.5248,Dataset_A_GLC
4/25/2015 0:00,28.2064,85.575,Dataset_A_GLC
4/28/2015 0:00,28.2001,85.4611,Dataset_A_GLC
4/28/2015 15:00,27.7908,84.4783,Dataset_A_GLC
6/13/2015 0:00,27.7786,85.3867,Dataset_A_GLC
6/21/2015 0:00,27.71675327,86.02176062,Dataset_BC_Admin
6/22/2015 0:00,27.61038821,86.15269883,Dataset_BC_Admin
6/23/2015 0:00,27.98146888,85.61670407,Dataset_BC_Admin
6/25/2015 0:00,28.172,85.0852,Dataset_A_GLC
7/2/2015 0:00,27.71116848,86.02284863,Dataset_BC_Admin
7/2/2015 0:00,27.13624632,86.11255496,Dataset_BC_Admin
7/3/2015 0:00,27.30417373,85.9459888,Dataset_BC_Admin
7/3/2015 0:00,27.70704906,86.07150055,Dataset_BC_Admin
7/3/2015 0:00,27.93974288,85.63605481,Dataset_BC_Admin
7/7/2015 0:00,27.76981844,85.21442538,Dataset_BC_Admin
7/8/2015 0:00,27.96716335,85.62768799,Dataset_BC_Admin
7/8/2015 0:00,27.78526059,84.7540963,Dataset_BC_Admin
7/16/2015 0:00,27.97814418,85.59574575,Dataset_BC_Admin
7/16/2015 0:00,27.7768,85.8888,Dataset_A_GLC
7/30/2015 0:00,27.57661814,84.47572373,Dataset_BC_Admin
8/20/2015 0:00,27.69970356,86.03374697,Dataset_BC_Admin
8/21/2015 0:00,27.72131639,86.03798449,Dataset_BC_Admin
8/21/2015 0:00,27.71468758,86.03123602,Dataset_BC_Admin
8/21/2015 11:47,28.0297,85.0934,Dataset_A_GLC
8/22/2015 0:00,27.6315619,86.09256384,Dataset_BC_Admin
8/27/2015 0:00,28.00553999,85.03994306,Dataset_BC_Admin
8/27/2015 0:00,27.8569,85.1287,Dataset_A_GLC
8/28/2015 0:00,27.99274105,85.10537069,Dataset_BC_Admin
8/28/2015 0:00,27.84214709,85.22220826,Dataset_BC_Admin
8/28/2015 2:00,27.8426,85.3418,Dataset_A_GLC
8/29/2015 14:00,27.8884,85.2118,Dataset_A_GLC
1/28/2016 21:00,27.7657,84.4694,Dataset_A_GLC
4/6/2016 0:00,27.73586983,85.37926734,Dataset_BC_Admin
4/7/2016 0:00,27.69842989,85.30699524,Dataset_BC_Admin
5/12/2016 0:00,27.40850675,84.31720668,Dataset_BC_Admin
5/17/2016 0:00,27.63344282,84.48366724,Dataset_BC_Admin
5/20/2016 9:00,27.8187,85.7734,Dataset_A_GLC
5/24/2016 0:00,27.0831205,86.1365672,Dataset_BC_Admin
5/25/2016 0:00,27.16557158,86.16358019,Dataset_BC_Admin
6/1/2016 0:00,27.61806583,84.52118117,Dataset_BC_Admin
6/7/2016 0:00,27.62885316,84.48694883,Dataset_BC_Admin
6/26/2016 0:00,27.97850092,85.59417076,Dataset_BC_Admin
6/27/2016 0:00,27.59107671,84.51675817,Dataset_BC_Admin
6/27/2016 0:00,28.17523374,85.30891016,Dataset_BC_Admin
6/27/2016 5:00,27.8178,84.4443,Dataset_A_GLC
6/28/2016 0:00,27.68858103,86.01991861,Dataset_BC_Admin
6/28/2016 0:00,28.2465,85.3644,Dataset_A_GLC
6/28/2016 0:00,28.09667808,85.22138103,Dataset_BC_Admin
6/28/2016 0:00,28.02094766,85.01742064,Dataset_BC_Admin
6/28/2016 0:00,28.0336,85.2178,Dataset_A_GLC
6/29/2016 0:00,27.76183935,85.23934944,Dataset_BC_Admin
6/29/2016 0:00,28.02918978,85.02768548,Dataset_BC_Admin
6/29/2016 0:00,27.61896178,86.13393229,Dataset_BC_Admin
6/29/2016 9:00,28.0022,85.133,Dataset_A_GLC
6/30/2016 0:00,27.77403836,84.70219731,Dataset_BC_Admin
7/1/2016 0:00,27.41785643,84.31561554,Dataset_BC_Admin
7/2/2016 0:00,27.60856226,84.51715592,Dataset_BC_Admin
7/14/2016 0:00,28.03990239,85.04997523,Dataset_BC_Admin
7/15/2016 0:00,27.93870701,85.63242125,Dataset_BC_Admin
7/15/2016 0:00,27.98605239,85.17676825,Dataset_BC_Admin
7/17/2016 0:00,27.98786077,85.62886135,Dataset_BC_Admin
7/18/2016 0:00,27.58431783,85.36205527,Dataset_BC_Admin
7/18/2016 0:00,27.5072,86.1424,Dataset_A_GLC
7/18/2016 0:00,27.61023138,84.49377811,Dataset_BC_Admin
7/19/2016 0:00,27.59860114,85.3120689,Dataset_BC_Admin
7/19/2016 0:00,27.55808322,85.39090843,Dataset_BC_Admin
7/19/2016 0:00,27.96487363,85.60218335,Dataset_BC_Admin
7/20/2016 0:00,27.8883,85.5097,Dataset_A_GLC
7/22/2016 0:00,27.76607581,85.2279292,Dataset_BC_Admin
7/23/2016 0:00,27.73377651,85.21306391,Dataset_BC_Admin
7/23/2016 6:10,27.8324,84.5512,Dataset_A_GLC
7/24/2016 0:00,27.08462488,86.13362853,Dataset_BC_Admin
7/25/2016 0:00,27.67681697,85.44389717,Dataset_BC_Admin
7/25/2016 0:00,27.73354981,85.3788523,Dataset_BC_Admin
7/25/2016 0:00,27.98501831,85.58674913,Dataset_BC_Admin
7/25/2016 0:00,28.01423056,85.02484445,Dataset_BC_Admin
7/25/2016 0:00,27.5340388,86.17579539,Dataset_BC_Admin
7/25/2016 0:00,26.99118705,86.26584843,Dataset_BC_Admin
7/25/2016 0:00,27.21545164,85.91452544,Dataset_A_GLC
7/26/2016 0:00,27.7043637,85.30620918,Dataset_BC_Admin
7/26/2016 0:00,27.56059366,86.36731239,Dataset_BC_Admin
7/26/2016 0:00,28.01283458,85.01745237,Dataset_BC_Admin
8/2/2016 0:00,27.69982352,86.04752101,Dataset_BC_Admin
8/3/2016 0:00,27.70840523,86.06705345,Dataset_BC_Admin
8/3/2016 0:00,27.73619483,86.04706796,Dataset_BC_Admin
8/7/2016 0:00,27.9998876,85.5977757,Dataset_BC_Admin
8/8/2016 0:00,27.7080103,86.05833543,Dataset_BC_Admin
8/9/2016 0:00,27.80584129,86.18926558,Dataset_BC_Admin
8/15/2016 0:00,28.17156956,85.29403235,Dataset_BC_Admin
8/15/2016 0:00,27.70498416,86.05194767,Dataset_BC_Admin
8/16/2016 0:00,28.23972636,85.28005594,Dataset_BC_Admin
8/16/2016 0:00,27.686486,86.04719506,Dataset_BC_Admin
8/16/2016 0:00,27.50263518,86.07466776,Dataset_BC_Admin
8/18/2016 0:00,28.17885,85.31612789,Dataset_BC_Admin
8/19/2016 0:00,28.20100723,85.3176796,Dataset_BC_Admin
8/31/2016 0:00,27.71214605,86.02291865,Dataset_BC_Admin
9/1/2016 0:00,27.54181193,86.05846325,Dataset_BC_Admin
9/2/2016 0:00,27.53280174,86.18217818,Dataset_BC_Admin
9/3/2016 0:00,27.5302705,86.15728261,Dataset_BC_Admin
9/6/2016 0:00,27.74806889,85.25012601,Dataset_BC_Admin
9/7/2016 0:00,28.11560149,84.92702771,Dataset_BC_Admin
9/11/2016 0:00,27.0958069,86.12753886,Dataset_BC_Admin
9/12/2016 0:00,27.19345126,86.12195919,Dataset_BC_Admin
9/15/2016 0:00,27.73108544,85.37372451,Dataset_BC_Admin
9/16/2016 0:00,27.71282391,85.30491111,Dataset_BC_Admin
9/30/2016 0:00,27.93095171,85.60732124,Dataset_BC_Admin
10/2/2016 0:00,27.73371135,85.37735003,Dataset_BC_Admin
10/3/2016 0:00,27.69580238,85.3066629,Dataset_BC_Admin
10/5/2016 0:00,28.02350049,85.04217485,Dataset_BC_Admin
10/6/2016 0:00,28.01467017,84.9964654,Dataset_BC_Admin
1/28/2017 0:00,27.67521361,85.44833899,Dataset_BC_Admin
3/29/2017 0:00,27.52519582,86.17362014,Dataset_BC_Admin
4/2/2017 0:00,27.42897964,84.31551844,Dataset_BC_Admin
4/3/2017 0:00,27.80898006,84.4334571,Dataset_BC_Admin
