Title,,,Hazard,event_date,province,district,municipality,ward
"Landslide at Thumki /Ladkepauwa , Panauti Municipality-11",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Panauti,11
"Landslide at Balting , Roshi Rural Municipality-10",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Roshi,10
"Landslide at Rajbas , Roshi Rural Municipality-9",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Roshi,9
"Landslide at Patikharka , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Mandandeupur , Mandandeupur Municipality-12",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Mandandeupur,12
"Landslide at Chalalganesh , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Manikhel Lakshyabas , Konjyosom Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Gotikhel Thosne , Konjyosom Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Thosne Khola , Konjyosom Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Thuman , Gosaikunda Rural Municipality-1",,,Landslide,27/09/2024,Bagmati,Rasuwa,Gosaikunda,1
"Landslide at Thuman , Gosaikunda Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Tega , Jugal Rural Municipality-2",,,Landslide,27/09/2024,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Chalal Ganesh , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
Landslide at Temal Rural Municipality-1,,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Temal,1
Landslide at Kageshwori Manahora Municipality-9,,,Landslide,27/09/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at T.U.  & ward 8 Gaushala , Kathmandu Metropolitan City-10",,,Landslide,27/09/2024,Bagmati,Kathmandu,Kathmandu,10
"Landslide at Anandaban , Konjyosom Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Gotikhel , Konjyosom Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Sidrechaur , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
Landslide at Dhulikhel Municipality-11,,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Dhulikhel,11
"Landslide at Majhuwa , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Teendhara , Mandandeupur Municipality-10",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Mandandeupur,10
"Landslide at Mamti, Roshi Rural Municipality-11",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Roshi,11
"Landslide at Goljung Mane Gung , Gosaikunda Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Jambra , Gosaikunda Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Rasuwa,Gosaikunda,4
Landslide at Panauti Municipality-10,,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Panauti,10
"Landslide at Phorande Dhade , Bigu Rural Municipality-1",,,Landslide,27/09/2024,Bagmati,Dolakha,Bigu,1
"Landslide at Goljung , Gosaikunda Rural Municipality-4",,,Landslide,27/09/2024,Bagmati,Rasuwa,Gosaikunda,4
Landslide at Konjyosom Rural Municipality-4,,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Nakkhipot , Lalitpur Metropolitan City-14",,,Landslide,27/09/2024,Bagmati,Lalitpur,Lalitpur,14
Landslide at Konjyosom Rural Municipality-4,,,Landslide,27/09/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at All , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at All , Jugal Rural Municipality-2",,,Landslide,27/09/2024,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Simpani (All), Bigu Rural Municipality-1",,,Landslide,27/09/2024,Bagmati,Dolakha,Bigu,1
Landslide at Namobuddha Municipality-7,,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
Landslide at Namobuddha Municipality-7,,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Nobel , Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Salmechakal (Ref. No. 338), Namobuddha Municipality-7",,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
Landslide at Namobuddha Municipality-7,,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
Landslide at Namobuddha Municipality-7,,,Landslide,27/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Tinthana , Chandragiri Municipality-15",,,Landslide,26/09/2024,Bagmati,Kathmandu,Chandragiri,15
"Landslide at Chyalti , Namobuddha Municipality-7",,,Landslide,26/09/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Gumba Danda , Netrawati Dabjong Rural Municipality-1",,,Landslide,26/09/2024,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Sanimahal , Kageshwori Manahora Municipality-9",,,Landslide,26/09/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Bumati Buspark , Lalitpur Metropolitan City-22",,,Landslide,26/09/2024,Bagmati,Lalitpur,Lalitpur,22
"Landslide at Sukkha Salleri , Makawanpurgadhi Rural Municipality-5",,,Landslide,26/09/2024,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Danda Gaau , Dhulikhel Municipality-11",,,Landslide,26/09/2024,Bagmati,Kavrepalanchok,Dhulikhel,11
"Landslide at All , Netrawati Dabjong Rural Municipality-1",,,Landslide,26/09/2024,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Chiraudi , Netrawati Dabjong Rural Municipality-1",,,Landslide,25/09/2024,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Kamaldanda, Jugal Rural Municipality-2",,,Landslide,20/09/2024,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Narayangadh Mugling Road Section. , Ichchhyakamana Rural Municipality-6",,,Landslide,14/09/2024,Bagmati,Chitwan,Ichchhyakamana,6
"Landslide at Youtiki , Kageshwori Manahora Municipality-9",,,Landslide,14/09/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Tinthana Bishnudevi Temple , Chandragiri Municipality-15",,,Landslide,5/9/2024,Bagmati,Kathmandu,Chandragiri,15
"Landslide at Golphutar , Kageshwori Manahora Municipality-9",,,Landslide,2/9/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Tatopani , Gosaikunda Rural Municipality-4",,,Landslide,2/9/2024,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Ishan Bal Hospital , Kageshwori Manahora Municipality-9",,,Landslide,31/08/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Swara , Kamalamai Municipality-5",,,Landslide,31/08/2024,Bagmati,Sindhuli,Kamalamai,5
"Landslide at Chutraghari Chaimale , Kageshwori Manahora Municipality-9",,,Landslide,26/08/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Chutraghari Chaimale , Kageshwori Manahora Municipality-9",,,Landslide,25/08/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Debithan , Panchkhal Municipality-13",,,Landslide,25/08/2024,Bagmati,Kavrepalanchok,Panchkhal,13
"Landslide at Lekhkharka , Gokulganga Rural Municipality-4",,,Landslide,24/08/2024,Bagmati,Ramechhap,Gokulganga,4
"Landslide at Okharpauwa , Suryagadhi Rural Municipality-4",,,Landslide,24/08/2024,Bagmati,Nuwakot,Suryagadhi,4
"Landslide at Ratoswara , Suryagadhi Rural Municipality-4",,,Landslide,24/08/2024,Bagmati,Nuwakot,Suryagadhi,4
"Landslide at Charsayabesi , Namobuddha Municipality-7",,,Landslide,21/08/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Grang , Gosaikunda Rural Municipality-4",,,Landslide,21/08/2024,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Rimche , Gosaikunda Rural Municipality-4",,,Landslide,21/08/2024,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Mugling Narayangadh Road Section 17 Kilo, Bharatpur Metropolitan City-29",,,Landslide,20/08/2024,Bagmati,Chitwan,Bharatpur,29
"Landslide at Ratemate, Kageshwori Manahora Municipality-9",,,Landslide,20/08/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Tathali Gothalechaur , Bhaktapur Municipality-9",,,Landslide,20/08/2024,Bagmati,Bhaktapur,Bhaktapur,9
Landslide at Balefi Rural Municipality-4,,,Landslide,19/08/2024,Bagmati,Sindhupalchok,Balefi,4
"Landslide at Rasuwagadhi , Gosaikunda Rural Municipality-1",,,Landslide,19/08/2024,Bagmati,Rasuwa,Gosaikunda,1
"Landslide at Ranipauwa Tallobazar , Suryagadhi Rural Municipality-4",,,Landslide,18/08/2024,Bagmati,Nuwakot,Suryagadhi,4
"Landslide at Baskharka , Jugal Rural Municipality-2",,,Landslide,18/08/2024,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Telkot , Bhaktapur Municipality-9",,,Landslide,18/08/2024,Bagmati,Bhaktapur,Bhaktapur,9
"Landslide at Bidari Magar Gaau , Kageshwori Manahora Municipality-9",,,Landslide,17/08/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Naubise , Gosaikunda Rural Municipality-4",,,Landslide,17/08/2024,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Maharajganj , Kageshwori Manahora Municipality-9",,,Landslide,17/08/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Manakamana Tole , Kageshwori Manahora Municipality-9",,,Landslide,12/8/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Gyaneshwor , Kathmandu Metropolitan City-30",,,Landslide,10/8/2024,Bagmati,Kathmandu,Kathmandu,30
"Landslide at Dhapasi , Kageshwori Manahora Municipality-9",,,Landslide,10/8/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Nakkhudole , Lalitpur Metropolitan City-25",,,Landslide,10/8/2024,Bagmati,Lalitpur,Lalitpur,25
"Landslide at Bhorle Buspark , Gosaikunda Rural Municipality-4",,,Landslide,10/8/2024,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Jongthali Danda , Gosaikunda Rural Municipality-4",,,Landslide,9/8/2024,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Guna Cinema Hall , Konjyosom Rural Municipality-4",,,Landslide,6/8/2024,Bagmati,Lalitpur,Konjyosom,4
Landslide at Chautara SangachokGadhi Municipality-11,,,Landslide,5/8/2024,Bagmati,Sindhupalchok,Chautara SangachokGadhi,11
"Landslide at Basbari Drinking Water Office, Kageshwori Manahora Municipality-9",,,Landslide,5/8/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Chiplegauda Chowk , Kageshwori Manahora Municipality-9",,,Landslide,5/8/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Nagarkot , Bhaktapur Municipality-9",,,Landslide,5/8/2024,Bagmati,Bhaktapur,Bhaktapur,9
"Landslide at Manbahadur Marga , Kageshwori Manahora Municipality-9",,,Landslide,5/8/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Pokharekhola , Netrawati Dabjong Rural Municipality-1",,,Landslide,4/8/2024,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Kharsubayan , Gokulganga Rural Municipality-4",,,Landslide,4/8/2024,Bagmati,Ramechhap,Gokulganga,4
"Landslide at Gadiyalo , Gokulganga Rural Municipality-4",,,Landslide,31/07/2024,Bagmati,Ramechhap,Gokulganga,4
"Landslide at Maludanda, Bigu Rural Municipality-1",,,Landslide,31/07/2024,Bagmati,Dolakha,Bigu,1
"Landslide at Phutung Naagpokhari , Kageshwori Manahora Municipality-9",,,Landslide,30/07/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Jure , Balefi Rural Municipality-8",,,Landslide,30/07/2024,Bagmati,Sindhupalchok,Balefi,8
"Landslide at Jimwal Tole , Suryagadhi Rural Municipality-4",,,Landslide,30/07/2024,Bagmati,Nuwakot,Suryagadhi,4
Landslide at Kathmandu Metropolitan City-32,,,Landslide,30/07/2024,Bagmati,Kathmandu,Kathmandu,32
"Landslide at Satbhai Tole , Gokulganga Rural Municipality-4",,,Landslide,30/07/2024,Bagmati,Ramechhap,Gokulganga,4
"Landslide at Baguwa , Melamchi Municipality-10",,,Landslide,30/07/2024,Bagmati,Sindhupalchok,Melamchi,10
"Landslide at Thalakhum , Netrawati Dabjong Rural Municipality-1",,,Landslide,30/07/2024,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Bhalukhop , Gokulganga Rural Municipality-4",,,Landslide,30/07/2024,Bagmati,Ramechhap,Gokulganga,4
"Landslide at Jure, Jugal Rural Municipality-2",,,Landslide,27/07/2024,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Kalopahiro , Makawanpurgadhi Rural Municipality-5",,,Landslide,27/07/2024,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Aathmile , Kageshwori Manahora Municipality-9",,,Landslide,27/07/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Baguwa , Makawanpurgadhi Rural Municipality-5",,,Landslide,26/07/2024,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Daklang , Jugal Rural Municipality-2",,,Landslide,25/07/2024,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Banuwaghumti , Gosaikunda Rural Municipality-4",,,Landslide,24/07/2024,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Balitar , Bigu Rural Municipality-1",,,Landslide,24/07/2024,Bagmati,Dolakha,Bigu,1
Landslide at Kageshwori Manahora Municipality-9,,,Landslide,24/07/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Pharpu, Gokulganga Rural Municipality-4",,,Landslide,24/07/2024,Bagmati,Ramechhap,Gokulganga,4
"Landslide at Khahare Buspark , Konjyosom Rural Municipality-4",,,Landslide,23/07/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Archale , Suryagadhi Rural Municipality-4",,,Landslide,22/07/2024,Bagmati,Nuwakot,Suryagadhi,4
"Landslide at Sindhukot , Jugal Rural Municipality-2",,,Landslide,22/07/2024,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Lakuribhanjyang, Mahalaxmi Municipality-10",,,Landslide,20/07/2024,Bagmati,Lalitpur,Mahalaxmi,10
"Landslide at Aryalgaau , Kageshwori Manahora Municipality-9",,,Landslide,20/07/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Kavresthali , Kageshwori Manahora Municipality-9",,,Landslide,18/07/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Bolde , Jugal Rural Municipality-2",,,Landslide,18/07/2024,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Kukhure , Suryagadhi Rural Municipality-4",,,Landslide,18/07/2024,Bagmati,Nuwakot,Suryagadhi,4
"Landslide at Behind Teaching Hospital , Kageshwori Manahora Municipality-9",,,Landslide,17/07/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Lahare, Gosaikunda Rural Municipality-4",,,Landslide,16/07/2024,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Goldhunga Devisthan , Kageshwori Manahora Municipality-9",,,Landslide,16/07/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
Landslide at Gosaikunda Rural Municipality-4,,,Landslide,15/07/2024,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Grang , Gosaikunda Rural Municipality-4",,,Landslide,15/07/2024,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Maramchi , Jugal Rural Municipality-2",,,Landslide,15/07/2024,Bagmati,Sindhupalchok,Jugal,2
Landslide at Shivapuri Rural Municipality-5,,,Landslide,13/07/2024,Bagmati,Nuwakot,Shivapuri,5
Landslide at Kageshwori Manahora Municipality-9,,,Landslide,13/07/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Grang , Gosaikunda Rural Municipality-4",,,Landslide,13/07/2024,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Grang , Kalika Rural Municipality-1",,,Landslide,13/07/2024,Bagmati,Rasuwa,Kalika,1
Landslide at Gosaikunda Rural Municipality-4,,,Landslide,13/07/2024,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Narayanghad Mugling Road Section - Simaltal , Bharatpur Metropolitan City-29",,,Landslide,11/7/2024,Bagmati,Chitwan,Bharatpur,29
"Landslide at Dallu - Nunari Aani Gumba , Kageshwori Manahora Municipality-9",,,Landslide,11/7/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Syaldanda, Neelakantha Municipality-5",,,Landslide,11/7/2024,Bagmati,Dhading,Neelakantha,5
Landslide at Gosaikunda Rural Municipality-4,,,Landslide,11/7/2024,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at 17 Kilo, Bharatpur Metropolitan City-29",,,Landslide,10/7/2024,Bagmati,Chitwan,Bharatpur,29
"Landslide at Jhor , Kageshwori Manahora Municipality-9",,,Landslide,9/7/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Jalbire River , Jugal Rural Municipality-2",,,Landslide,9/7/2024,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Ramche , Jugal Rural Municipality-2",,,Landslide,9/7/2024,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Rapa Gobre , Netrawati Dabjong Rural Municipality-1",,,Landslide,7/7/2024,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Naya Gaau , Bhaktapur Municipality-9",,,Landslide,6/7/2024,Bagmati,Bhaktapur,Bhaktapur,9
"Landslide at Deurali , Uttargaya Rural Municipality-2",,,Landslide,6/7/2024,Bagmati,Rasuwa,Uttargaya,2
Landslide at Kageshwori Manahora Municipality-9,,,Landslide,5/7/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Narke, Namobuddha Municipality-7",,,Landslide,5/7/2024,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Ratomate, Makawanpurgadhi Rural Municipality-5",,,Landslide,5/7/2024,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Mahadevtar, Makawanpurgadhi Rural Municipality-5",,,Landslide,5/7/2024,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Khalde , Jugal Rural Municipality-2",,,Landslide,5/7/2024,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Jitpurphedi , Kageshwori Manahora Municipality-9",,,Landslide,5/7/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
Landslide at Kageshwori Manahora Municipality-9,,,Landslide,5/7/2024,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Ghekhor , Gokulganga Rural Municipality-4",,,Landslide,5/7/2024,Bagmati,Ramechhap,Gokulganga,4
"Landslide at Gopre, Netrawati Dabjong Rural Municipality-1",,,Landslide,3/7/2024,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Simaltal, Bharatpur Metropolitan City-29",,,Landslide,21/06/2024,Bagmati,Chitwan,Bharatpur,29
"Landslide at TrisuliKhola, Gosaikunda Rural Municipality-6",,,Landslide,21/06/2024,Bagmati,Rasuwa,Gosaikunda,6
"Landslide at Sisneri , Bigu Rural Municipality-1",,,Landslide,19/06/2024,Bagmati,Dolakha,Bigu,1
Landslide at Kamalamai Municipality-5,,,Landslide,18/06/2024,Bagmati,Sindhuli,Kamalamai,5
"Landslide at Parthak , Suryagadhi Rural Municipality-4",,,Landslide,18/06/2024,Bagmati,Nuwakot,Suryagadhi,4
"Landslide at Panidhara, Benighat Rorang Rural Municipality-10",,,Landslide,17/06/2024,Bagmati,Dhading,Benighat Rorang,10
"Landslide at Akabera, Golanjor Rural Municipality-6",,,Landslide,17/06/2024,Bagmati,Sindhuli,Golanjor,6
Landslide at Bharatpur Metropolitan City-14,,,Landslide,16/06/2024,Bagmati,Chitwan,Bharatpur,14
Landslide at Bharatpur Metropolitan City-14,,,Landslide,16/06/2024,Bagmati,Chitwan,Bharatpur,14
"Landslide at NIgalea, Melamchi Municipality-4",,,Landslide,16/06/2024,Bagmati,Sindhupalchok,Melamchi,4
"Landslide at Sanga Suryamode, Suryabinayak Municipality-10",,,Landslide,6/6/2024,Bagmati,Bhaktapur,Suryabinayak,10
Landslide at Bigu Rural Municipality-1,,,Landslide,30/05/2024,Bagmati,Dolakha,Bigu,1
Landslide at Kamalamai Municipality-5,,,Landslide,29/05/2024,Bagmati,Sindhuli,Kamalamai,5
Landslide at Netrawati Dabjong Rural Municipality-1,,,Landslide,27/05/2024,Bagmati,Dhading,Netrawati Dabjong,1
Landslide at Konjyosom Rural Municipality-4,,,Landslide,27/05/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Kudule , Kamalamai Municipality-5",,,Landslide,19/05/2024,Bagmati,Sindhuli,Kamalamai,5
"Landslide at Bhaledanda Kukhuretar , Kamalamai Municipality-5",,,Landslide,17/05/2024,Bagmati,Sindhuli,Kamalamai,5
"Landslide at Baireni Bazar , Netrawati Dabjong Rural Municipality-1",,,Landslide,13/05/2024,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Karkibas, Konjyosom Rural Municipality-4",,,Landslide,9/5/2024,Bagmati,Lalitpur,Konjyosom,4
"Landslide at Mailumg, Uttargaya Rural Municipality-1",,,Landslide,30/03/2024,Bagmati,Rasuwa,Uttargaya,1
"Landslide at Mailung, Uttargaya Rural Municipality-1",,,Landslide,29/03/2024,Bagmati,Rasuwa,Uttargaya,1
"Landslide at Putalibazar , Netrawati Dabjong Rural Municipality-1",,,Landslide,14/01/2024,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Deurali , Bigu Rural Municipality-1",,,Landslide,14/01/2024,Bagmati,Dolakha,Bigu,1
"Landslide at Jyanglang , Gosaikunda Rural Municipality-4",,,Landslide,26/12/2023,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Laltin Bazar , Netrawati Dabjong Rural Municipality-1",,,Landslide,18/12/2023,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Pidule, Bigu Rural Municipality-4",,,Landslide,26/08/2023,Bagmati,Dolakha,Bigu,4
"Landslide at Mulkhola, Panauti Municipality-12",,,Landslide,25/08/2023,Bagmati,Kavrepalanchok,Panauti,12
"Landslide at Mithini Chhap , Namobuddha Municipality-7",,,Landslide,24/08/2023,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Chausadhinga, Gosaikunda Rural Municipality-4",,,Landslide,16/08/2023,Bagmati,Rasuwa,Gosaikunda,4
"Landslide at Sirise, Barhabise Municipality-5",,,Landslide,15/08/2023,Bagmati,Sindhupalchok,Barhabise,5
"Landslide at Lyachhebar, Umakunda Rural Municipality-1",,,Landslide,15/08/2023,Bagmati,Ramechhap,Umakunda,1
"Landslide at Gyalbasingh Jungle., Bigu Rural Municipality-1",,,Landslide,12/8/2023,Bagmati,Dolakha,Bigu,1
"Landslide at Daklang, Jugal Rural Municipality-2",,,Landslide,12/8/2023,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Bhaise - Galchhi - Trishuli, Bidur Municipality-11",,,Landslide,11/8/2023,Bagmati,Nuwakot,Bidur,11
"Landslide at Bhaise, Makawanpurgadhi Rural Municipality-5",,,Landslide,11/8/2023,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Lamasoti, Mahankal Rural Municipality-5",,,Landslide,10/8/2023,Bagmati,Lalitpur,Mahankal,5
"Landslide at Hetauda Bhaise , Makawanpurgadhi Rural Municipality-5",,,Landslide,9/8/2023,Bagmati,Makwanpur,Makawanpurgadhi,5
Landslide at Ichchhyakamana Rural Municipality-6,,,Landslide,7/8/2023,Bagmati,Chitwan,Ichchhyakamana,6
"Landslide at Sikre Dovan, Makawanpurgadhi Rural Municipality-5",,,Landslide,7/8/2023,Bagmati,Makwanpur,Makawanpurgadhi,5
"Landslide at Dhungedhara, Kageshwori Manahora Municipality-7",,,Landslide,7/8/2023,Bagmati,Kathmandu,Kageshwori Manahora,7
"Landslide at Samthali, Changunarayan Municipality-1",,,Landslide,7/8/2023,Bagmati,Bhaktapur,Changunarayan,1
"Landslide at Buduna Khola, Kamalamai Municipality-12",,,Landslide,7/8/2023,Bagmati,Sindhuli,Kamalamai,12
"Landslide at Majhinidamar, Kamalamai Municipality-1",,,Landslide,7/8/2023,Bagmati,Sindhuli,Kamalamai,1
"Landslide at Tripureshwor, Kathmandu Metropolitan City-11",,,Landslide,7/8/2023,Bagmati,Kathmandu,Kathmandu,11
"Landslide at Tuku Tamakoshi , Bigu Rural Municipality-1",,,Landslide,7/8/2023,Bagmati,Dolakha,Bigu,1
Landslide at Khanikhola Rural Municipality-7,,,Landslide,7/8/2023,Bagmati,Kavrepalanchok,Khanikhola,7
"Landslide at Taaldhunga, Namobuddha Municipality-7",,,Landslide,7/8/2023,Bagmati,Kavrepalanchok,Namobuddha,7
"Landslide at Kharkatta, Madi Municipality-8",,,Landslide,7/8/2023,Bagmati,Chitwan,Madi,8
"Landslide at Divtole, Banepa Municipality-14",,,Landslide,7/8/2023,Bagmati,Kavrepalanchok,Banepa,14
"Landslide at Lamrang, Bakaiya Rural Municipality-11",,,Landslide,6/8/2023,Bagmati,Makwanpur,Bakaiya,11
"Landslide at Jyaltar, Bhimphedi Rural Municipality-2",,,Landslide,6/8/2023,Bagmati,Makwanpur,Bhimphedi,2
"Landslide at Nigale , Suryagadhi Rural Municipality-4",,,Landslide,6/8/2023,Bagmati,Nuwakot,Suryagadhi,4
"Landslide at Narayanghad Mugling Road., Ichchhyakamana Rural Municipality-6",,,Landslide,4/8/2023,Bagmati,Chitwan,Ichchhyakamana,6
"Landslide at Chwa Gaau - Krishna Temple, Tarakeshwor Municipality-5",,,Landslide,4/8/2023,Bagmati,Kathmandu,Tarakeshwor,5
"Landslide at Lamrang, Bakaiya Rural Municipality-12",,,Landslide,3/8/2023,Bagmati,Makwanpur,Bakaiya,12
"Landslide at Topatar , Gaurishankar Rural Municipality-7",,,Landslide,2/8/2023,Bagmati,Dolakha,Gaurishankar,7
Landslide at Bigu Rural Municipality-1,,,Landslide,2/8/2023,Bagmati,Dolakha,Bigu,1
"Landslide at Neupane, Jugal Rural Municipality-2",,,Landslide,31/07/2023,Bagmati,Sindhupalchok,Jugal,2
"Landslide at Narayanghat Muglin Highway, Ichchhyakamana Rural Municipality-6",,,Landslide,29/07/2023,Bagmati,Chitwan,Ichchhyakamana,6
"Landslide at Bashnet Tar, Kageshwori Manahora Municipality-9",,,Landslide,27/07/2023,Bagmati,Kathmandu,Kageshwori Manahora,9
"Landslide at Khayar Ghari , Netrawati Dabjong Rural Municipality-1",,,Landslide,24/07/2023,Bagmati,Dhading,Netrawati Dabjong,1
"Landslide at Okharpauwa Gauri Tole, Suryagadhi Rural Municipality-4",,,Landslide,23/07/2023,Bagmati,Nuwakot,Suryagadhi,4
"Landslide at Gaucharan, Netrawati Dabjong Rural Municipality-1",,,Landslide,22/07/2023,Bagmati,Dhading,Netrawati Dabjong,1
