S.No.,district,municipality,ward,Incident Place,event_date,Incident,,,,,,,,
92,Baglung,Amalachaur,,,14/08/2011,Landslide,,,,,,,,
93,Dhading,Jogimara,,,17/08/2011,Landslide,,,,,,,,
94,Dailekh,Toli,,,18/08/2011,Landslide,,,,,,,,
95,Baglung,Dudilabhati,,,18/08/2011,Landslide,,,,,,,,
96,Rasuwa,-,,,18/08/2011,Landslide,,,,,,,,
97,Baglung,Palakot,,,19/08/2011,Landslide,,,,,,,,
98,Jajarkot,-,,,22/08/2011,Landslide,,,,,,,,
99,Baglung,Chhisti,,,22/08/2011,Landslide,,,,,,,,
100,Parbat,Deupur,,,22/08/2011,Landslide,,,,,,,,
101,Rukum,Khara,,,23/08/2011,Landslide,,,,,,,,
102,Salyan,Kotbada,,,23/08/2011,Landslide,,,,,,,,
103,Salyan,-,,,23/08/2011,Landslide,,,,,,,,
104,Sindhuli,Kamalamai,,,23/08/2011,Landslide,,,,,,,,
105,Jajarkot,Bhagawati,,,24/08/2011,Landslide,,,,,,,,
106,Baglung,-,,,24/08/2011,Landslide,,,,,,,,
107,Baglung,-,,,25/08/2011,Landslide,,,,,,,,
108,Dhading,-,,,25/08/2011,Landslide,,,,,,,,
109,Sindhuli,-,,,1/9/2011,Landslide,,,,,,,,
110,Rukum,Hukam,,,5/9/2011,Landslide,,,,,,,,
111,Kavrepalanchowk,-,,,8/9/2011,Landslide,,,,,,,,
112,Jajarkot,-,,,9/9/2011,Landslide,,,,,,,,
113,Dailekh,Kalika,,,10/9/2011,Landslide,,,,,,,,
114,Morang,Yangshila,,,11/9/2011,Landslide,,,,,,,,
115,Achhaam,-,,,14/09/2011,Landslide,,,,,,,,
116,Rolpa,-,,,14/09/2011,Landslide,,,,,,,,
117,Rolpa,Mijhing,,,17/09/2011,Landslide,,,,,,,,
118,Ramechhap,Rasnalu,,,17/09/2011,Landslide,,,,,,,,
119,Khotang,Diktel,,,17/09/2011,Landslide,,,,,,,,
120,Taplejung,Thukimba,,,19/09/2011,Landslide,,,,,,,,
121,Baglung,Resha,,,22/09/2011,Landslide,,,,,,,,
122,Panchthar,-,,,23/09/2011,Landslide,,,,,,,,
123,Kavrepalanchowk,-,,,26/09/2011,Landslide,,,,,,,,
124,Surkhet,Satakhani,,,27/09/2011,Landslide,,,,,,,,
125,Lalitpur,Lalitpur,,,27/09/2011,Landslide,,,,,,,,
126,Rukum,Jhula,,,14/10/2011,Landslide,,,,,,,,
127,Darchula,Khalanga,,,17/03/2012,Landslide,,,,,,,,
128,Lamjung,Puranokot,,,24/04/2012,Landslide,,,,,,,,
129,Udayapur,Triyuga,,,5/5/2012,Landslide,,,,,,,,
130,Mustang,-,,,16/05/2012,Landslide,,,,,,,,
131,Dhankuta,Teliya,,,22/05/2012,Landslide,,,,,,,,
